display_name,family,variant,seed,experiment,target_column,feature_bundle,best_epoch,best_val_task_loss,test_r2,test_baseline_persistence_r2,test_baseline_panel_ols_r2,test_baseline_grouped_ardl_r2,test_baseline_best_simple_r2,test_r2_delta_vs_persistence,test_r2_delta_vs_panel_ols,test_r2_delta_vs_grouped_ardl,test_mae,test_mse
Plain LSTM,plain_lstm,,10,economics_lstm_seed10,ctfp,effective_labor_aware,65,2.1253316402435303,0.10545567945426057,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8313775227757337,0.08445012217615368,0.1945626424023238,1.4496027089152863,3.5929941034067925
Uniform Lag,ablation,uniform_lag,6,economics_ablation_uniform_lag_seed6,ctfp,effective_labor_aware,24,2.4870922565460205,0.10375974965671823,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8330734525732761,0.08275419237861134,0.19286671260478144,1.4391381067642048,3.599725728329614
Plain LSTM,plain_lstm,,18,economics_lstm_seed18,ctfp,effective_labor_aware,26,2.514051675796509,0.10191672334991311,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8349164788800812,0.08091116607180622,0.19102368629797634,1.4537302844083653,3.606463449447515
No AC Encoder,ablation,no_ac_encoder,12,economics_ablation_no_ac_encoder_seed12,ctfp,effective_labor_aware,25,2.5436055660247803,0.10092115996662201,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8359120422633723,0.07991560268851512,0.19002812291468524,1.463828319032291,3.6125792203838656
Plain LSTM,plain_lstm,,11,economics_lstm_seed11,ctfp,effective_labor_aware,24,2.5312347412109375,0.10072652235785692,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8361066798721374,0.07972096507975003,0.18983348530592015,1.4575084953383834,3.6112755264427117
Plain LSTM,plain_lstm,,12,economics_lstm_seed12,ctfp,effective_labor_aware,30,2.575155258178711,0.09992571861236177,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8369074836176326,0.07892016133425488,0.189032681560425,1.4654199642060617,3.6141560750804858
CMDL,cmdl,,15,economics_cmdl_seed15,ctfp,effective_labor_aware,20,2.489112615585327,0.09972350810851587,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8371096941214785,0.07871795083040897,0.18883047105657907,1.4567946428343268,3.6249299194625992
Plain LSTM,plain_lstm,,8,economics_lstm_seed8,ctfp,effective_labor_aware,20,2.6224398612976074,0.09541799446613988,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8414152077638545,0.07441243718803299,0.1845249574142031,1.4519021924611728,3.6341281752556385
No AC Encoder,ablation,no_ac_encoder,8,economics_ablation_no_ac_encoder_seed8,ctfp,effective_labor_aware,27,2.4267477989196777,0.09433683867447475,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8424963635555196,0.07333128139636785,0.18344380162253798,1.4517446086504027,3.641918215922263
CMDL,cmdl,,17,economics_cmdl_seed17,ctfp,effective_labor_aware,28,2.44954252243042,0.09414540558386816,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8426877966461261,0.07313984830576127,0.1832523685319314,1.4617789082954253,3.6394717056912307
Uniform Lag,ablation,uniform_lag,15,economics_ablation_uniform_lag_seed15,ctfp,effective_labor_aware,24,2.5764458179473877,0.0934134603028059,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8434197419271885,0.072407903024699,0.18252042325086912,1.4577206618380263,3.640792098001085
Plain LSTM,plain_lstm,,16,economics_lstm_seed16,ctfp,effective_labor_aware,24,2.5072994232177734,0.091496994692888,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8453362075371064,0.0704914374147811,0.18060395764095122,1.4630675657033365,3.648105096343566
Uniform Lag,ablation,uniform_lag,1,economics_ablation_uniform_lag_seed1,ctfp,effective_labor_aware,24,2.548159599304199,0.091414293909957,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8454189083200373,0.07040873663185011,0.18052125685802023,1.455492472381411,3.6499666845814565
No Recon Regularization,ablation,no_recon_regularization,15,economics_ablation_no_recon_regularization_seed15,ctfp,effective_labor_aware,20,2.495399236679077,0.09066875149366387,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8461644507363305,0.06966319421555697,0.17977571444172707,1.4642100666051854,3.6635704159541187
No Recon Regularization,ablation,no_recon_regularization,17,economics_ablation_no_recon_regularization_seed17,ctfp,effective_labor_aware,28,2.4474501609802246,0.08835879064238406,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8484744115876103,0.06735323336427716,0.17746575359044728,1.466315821935545,3.6627378352964683
No AC Encoder,ablation,no_ac_encoder,11,economics_ablation_no_ac_encoder_seed11,ctfp,effective_labor_aware,24,2.429872512817383,0.0873762851932907,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8494569170367037,0.06637072791518381,0.1764832481413539,1.4545680710014164,3.669104417426628
CMDL,cmdl,,2,economics_cmdl_seed2,ctfp,effective_labor_aware,63,2.4088134765625,0.08529076190722075,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8515424403227736,0.06428520462911386,0.174397724855284,1.4731109215682325,3.6748064940034597
Uniform Lag,ablation,uniform_lag,3,economics_ablation_uniform_lag_seed3,ctfp,effective_labor_aware,25,2.452455997467041,0.08472963243691613,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8521035697930782,0.06372407515880923,0.17383659538497936,1.4611101189252704,3.679252660259478
No AC Encoder,ablation,no_ac_encoder,4,economics_ablation_no_ac_encoder_seed4,ctfp,effective_labor_aware,12,2.4041075706481934,0.08462517828900756,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8522080239409868,0.06361962101090067,0.1737321412370708,1.4619785876971285,3.683741852114125
No Recon Regularization,ablation,no_recon_regularization,9,economics_ablation_no_recon_regularization_seed9,ctfp,effective_labor_aware,20,2.520796298980713,0.08445087351398636,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8523823287160079,0.06344531623587947,0.1735578364620496,1.4735004086582029,3.6770292175623003
Plain LSTM,plain_lstm,,17,economics_lstm_seed17,ctfp,effective_labor_aware,28,2.557328701019287,0.08355390072985788,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8532793015001364,0.06254834345175099,0.1726608636779211,1.472495270008767,3.68027756496855
CMDL,cmdl,,9,economics_cmdl_seed9,ctfp,effective_labor_aware,20,2.5280086994171143,0.08221758947341638,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8546156127565779,0.06121203219530949,0.1713245524214796,1.474951642529992,3.6864485581355995
No Recon Regularization,ablation,no_recon_regularization,6,economics_ablation_no_recon_regularization_seed6,ctfp,effective_labor_aware,22,2.6035678386688232,0.08115818153906833,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.855675020690926,0.060152624260961435,0.17026514448713154,1.4852523391034662,3.6897593063917267
No AC Encoder,ablation,no_ac_encoder,18,economics_ablation_no_ac_encoder_seed18,ctfp,effective_labor_aware,20,2.5839388370513916,0.08009942931589688,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8567337729140975,0.059093872037789985,0.16920639226396011,1.47114460911995,3.6960285399311985
Plain LSTM,plain_lstm,,14,economics_lstm_seed14,ctfp,effective_labor_aware,26,2.598283290863037,0.07838387797993458,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8584493242500597,0.05737832070182769,0.16749084092799782,1.495299721790219,3.7030079561786144
