display_name,family,variant,seed,experiment,target_column,feature_bundle,anchor_proxy_name,anchor_expected_sign,proxy_index,proxy_name,expected_sign,rho,p_value,adjusted_rho,metric_valid
CMDL,cmdl,,14,energy_cmdl_seed14,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,2,regulatory_quality,-1.0,0.7779688665764615,5.3263146653821246e-17,-0.7779688665764615,True
CMDL,cmdl,,14,energy_cmdl_seed14,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,3,rule_of_law,-1.0,0.8453698200533643,2.163781482844706e-22,-0.8453698200533643,True
CMDL,cmdl,,15,energy_cmdl_seed15,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,1,government_effectiveness,-1.0,0.5467823315924581,2.2286585542959474e-07,-0.5467823315924581,True
CMDL,cmdl,,15,energy_cmdl_seed15,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,2,regulatory_quality,-1.0,0.5496908155136002,1.8649444193238172e-07,-0.5496908155136002,True
CMDL,cmdl,,15,energy_cmdl_seed15,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,3,rule_of_law,-1.0,0.5186585566332401,1.1479157980582407e-06,-0.5186585566332401,True
CMDL,cmdl,,16,energy_cmdl_seed16,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,1,government_effectiveness,-1.0,-0.9189924000050581,1.8903250903918e-32,0.9189924000050581,True
CMDL,cmdl,,16,energy_cmdl_seed16,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,2,regulatory_quality,-1.0,-0.9374296589486462,1.458783729577613e-36,0.9374296589486462,True
CMDL,cmdl,,16,energy_cmdl_seed16,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,3,rule_of_law,-1.0,-0.8844699604193275,7.103667263617367e-27,0.8844699604193275,True
CMDL,cmdl,,17,energy_cmdl_seed17,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,1,government_effectiveness,-1.0,-0.8256427117186611,1.410175988589922e-20,0.8256427117186611,True
CMDL,cmdl,,17,energy_cmdl_seed17,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,2,regulatory_quality,-1.0,-0.7585452522161381,8.703582817434235e-16,0.7585452522161381,True
CMDL,cmdl,,17,energy_cmdl_seed17,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,3,rule_of_law,-1.0,-0.7962796696973912,2.9201006373357722e-18,0.7962796696973912,True
CMDL,cmdl,,18,energy_cmdl_seed18,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,1,government_effectiveness,-1.0,0.2593988290190821,0.02182681970843082,-0.2593988290190821,True
CMDL,cmdl,,18,energy_cmdl_seed18,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,2,regulatory_quality,-1.0,0.2256857066983649,0.046951878865480356,-0.2256857066983649,True
CMDL,cmdl,,18,energy_cmdl_seed18,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,3,rule_of_law,-1.0,0.3222220817157526,0.004014744527571465,-0.3222220817157526,True
CMDL,cmdl,,19,energy_cmdl_seed19,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,1,government_effectiveness,-1.0,-0.8754663058460526,1.0357085667423252e-25,0.8754663058460526,True
CMDL,cmdl,,19,energy_cmdl_seed19,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,2,regulatory_quality,-1.0,-0.9067514763717295,3.154935505848939e-30,0.9067514763717295,True
CMDL,cmdl,,19,energy_cmdl_seed19,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,3,rule_of_law,-1.0,-0.8711668078756686,3.464035187131297e-25,0.8711668078756686,True
