display_name,family,variant,seed,experiment,target_column,feature_bundle,lag_method,anchor_proxy_name,anchor_expected_sign,proxy_refit_status,proxy_metric_interpretable,test_effective_kstar_proxy_spearman_rho,test_effective_kstar_proxy_spearman_adjusted_rho,test_effective_kstar_proxy_mean_spearman_rho,test_effective_kstar_proxy_mean_spearman_adjusted_rho,test_effective_kstar_proxy_metric_valid,test_effective_kstar_mean,test_effective_kstar_std,test_effective_lag_entropy_mean,test_effective_lag_entropy_std,test_effective_lag_top1_share,test_z_std,test_z_proxy_spearman_adjusted_rho,test_z_anchor_adjusted_rho,test_omega_entropy_penalty,test_omega_entropy_band_violation_share,test_z_anchor_loss,test_lag_gate_sensitivity_slope,test_lag_gate_sensitivity_range,test_proxy_signal_r2,test_proxy_signal_metric_valid,omega_transform,lambda_omega_entropy,omega_entropy_min,omega_entropy_max,lambda_z_anchor,z_anchor_target_sign
Plain LSTM,plain_lstm,,2,energy_lstm_seed2,co2_per_unit_energy,minimal,lag_occlusion,proxy_government_effectiveness,-1.0,,,0.06297675026858672,-0.06297675026858672,0.03936654150242589,-0.03936654150242589,True,5.457396030426025,1.1543892719885351,2.1519476355328275,0.4115696523522339,0.7564102564102564,,,,,,,,,,,softmax,0.0,,,0.0,1.0
Plain LSTM,plain_lstm,,7,energy_lstm_seed7,co2_per_unit_energy,minimal,lag_occlusion,proxy_government_effectiveness,-1.0,,,0.03938071918485844,-0.03938071918485844,0.07040482134360884,-0.07040482134360884,True,5.080630779266357,1.0842420176719771,2.1057683689438425,0.42020397979989105,0.4358974358974359,,,,,,,,,,,softmax,0.0,,,0.0,1.0
Plain LSTM,plain_lstm,,16,energy_lstm_seed16,co2_per_unit_energy,minimal,lag_occlusion,proxy_government_effectiveness,-1.0,,,0.035272048740794947,-0.035272048740794947,0.0432428834813004,-0.0432428834813004,True,5.392091274261475,1.239608805624868,2.0882011981465487,0.4797782913711931,0.6666666666666666,,,,,,,,,,,softmax,0.0,,,0.0,1.0
Plain LSTM,plain_lstm,,6,energy_lstm_seed6,co2_per_unit_energy,minimal,lag_occlusion,proxy_government_effectiveness,-1.0,,,0.006195102820682319,-0.006195102820682319,0.00450426938863927,-0.00450426938863927,True,5.416357517242432,1.169742579313443,2.1050903205492393,0.39265336326354533,0.5897435897435898,,,,,,,,,,,softmax,0.0,,,0.0,1.0
Plain LSTM,plain_lstm,,13,energy_lstm_seed13,co2_per_unit_energy,minimal,lag_occlusion,proxy_government_effectiveness,-1.0,,,-0.005730816665642153,0.005730816665642153,0.018272961969684764,-0.018272961969684764,True,5.373068809509277,1.4372068491575234,2.001073912106568,0.6238325295983923,0.6153846153846154,,,,,,,,,,,softmax,0.0,,,0.0,1.0
No Recon Regularization,ablation,no_recon_regularization,6,energy_ablation_no_recon_regularization_seed6,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,-0.008206982890527193,0.008206982890527193,0.0725224142945662,-0.0725224142945662,True,4.681015491485596,0.006559935033308557,1.7745486384187894,0.00032022611709298316,1.0,0.028751238286592345,0.008206982890527193,0.008206982890527193,0.0,0.0,0.0,0.228074884495603,0.019831180572509766,0.008293158676178117,True,softmax,0.0,,,0.0,1.0
CMDL,cmdl,,6,energy_cmdl_seed6,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,-0.008206982890527193,0.008206982890527193,0.0725224142945662,-0.0725224142945662,True,4.681011199951172,0.006560084721638722,1.7745489177845126,0.00032026332942655515,1.0,0.02875102207799851,0.008206982890527193,0.008206982890527193,0.0,0.0,0.0,0.22807911577437753,0.019832134246826172,0.008289530099109118,True,softmax,0.0,,,0.0,1.0
Plain LSTM,plain_lstm,,0,energy_lstm_seed0,co2_per_unit_energy,minimal,lag_occlusion,proxy_government_effectiveness,-1.0,,,-0.021377844079971904,0.021377844079971904,-0.017146967620939136,0.017146967620939136,True,5.45845365524292,1.3046741596049602,2.1039781969288276,0.4446597196409737,0.6923076923076923,,,,,,,,,,,softmax,0.0,,,0.0,1.0
Plain LSTM,plain_lstm,,15,energy_lstm_seed15,co2_per_unit_energy,minimal,lag_occlusion,proxy_government_effectiveness,-1.0,,,-0.04216178249998782,0.04216178249998782,-0.05154711079621799,0.05154711079621799,True,5.733646392822266,1.266279920870713,2.1068259665538327,0.4657698893512285,0.6538461538461539,,,,,,,,,,,softmax,0.0,,,0.0,1.0
Plain LSTM,plain_lstm,,5,energy_lstm_seed5,co2_per_unit_energy,minimal,lag_occlusion,proxy_government_effectiveness,-1.0,,,-0.06241466014996435,0.06241466014996435,-0.06528429969708914,0.06528429969708914,True,5.884206295013428,1.2950413018602724,2.1027950617711184,0.4693953712866994,0.6794871794871795,,,,,,,,,,,softmax,0.0,,,0.0,1.0
Plain LSTM,plain_lstm,,14,energy_lstm_seed14,co2_per_unit_energy,minimal,lag_occlusion,proxy_government_effectiveness,-1.0,,,-0.08007764621352338,0.08007764621352338,-0.07828476324065585,0.07828476324065585,True,5.241937637329102,1.4916023277392096,1.9958760549369547,0.6075345134401292,0.5641025641025641,,,,,,,,,,,softmax,0.0,,,0.0,1.0
Plain LSTM,plain_lstm,,4,energy_lstm_seed4,co2_per_unit_energy,minimal,lag_occlusion,proxy_government_effectiveness,-1.0,,,-0.08676848441695836,0.08676848441695836,-0.08631127343349664,0.08631127343349664,True,4.927274227142334,1.0808634675408662,2.0993396650195555,0.3784884947016181,0.3974358974358974,,,,,,,,,,,softmax,0.0,,,0.0,1.0
CMDL,cmdl,,12,energy_cmdl_seed12,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,-0.1258867714563917,0.1258867714563917,-0.22062747379203076,0.22062747379203076,True,5.760238170623779,0.03289446133881053,1.9399609152867299,0.008373771056915532,0.9871794871794872,0.028006526357782287,-0.1258867714563917,-0.1258867714563917,0.0,0.0,0.0,-1.1875497482561315,0.10784244537353516,0.04613044793809303,True,softmax,0.0,,,0.0,1.0
No Recon Regularization,ablation,no_recon_regularization,12,energy_ablation_no_recon_regularization_seed12,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,-0.1258867714563917,0.1258867714563917,-0.22062747379203076,0.22062747379203076,True,5.760242462158203,0.03289226260042219,1.93996124677181,0.00837370203527533,0.9871794871794872,0.028005535442153714,-0.1258867714563917,-0.1258867714563917,0.0,0.0,0.0,-1.1875105288905596,0.10783863067626953,0.04607726607566202,True,softmax,0.0,,,0.0,1.0
Plain LSTM,plain_lstm,,17,energy_lstm_seed17,co2_per_unit_energy,minimal,lag_occlusion,proxy_government_effectiveness,-1.0,,,-0.13713974606966572,0.13713974606966572,-0.15108438385809503,0.15108438385809503,True,5.185626029968262,1.476014125125925,2.00251010761917,0.564307160864715,0.5512820512820513,,,,,,,,,,,softmax,0.0,,,0.0,1.0
Plain LSTM,plain_lstm,,8,energy_lstm_seed8,co2_per_unit_energy,minimal,lag_occlusion,proxy_government_effectiveness,-1.0,,,-0.13954443588647863,0.13954443588647863,-0.13579027790170306,0.13579027790170306,True,5.305130481719971,1.1375988061918334,2.160169786574523,0.37460219238928316,0.717948717948718,,,,,,,,,,,softmax,0.0,,,0.0,1.0
Plain LSTM,plain_lstm,,3,energy_lstm_seed3,co2_per_unit_energy,minimal,lag_occlusion,proxy_government_effectiveness,-1.0,,,-0.1410851917012546,0.1410851917012546,-0.13554614292322528,0.13554614292322528,True,5.573118209838867,1.1824684299168733,2.133053383004205,0.3279658591256882,0.5256410256410257,,,,,,,,,,,softmax,0.0,,,0.0,1.0
