workbook_row_index,observed_block_code,global_year,global_county,ti__unnamed_1561_level_1,ti__unnamed_1562_level_1,ti__unnamed_1563_level_1,ti__unnamed_1564_level_1,ti__unnamed_1565_level_1,ti__unnamed_1566_level_1
250,TI,2006.0,SE211 Jönköping,,,,,,
251,TI,2006.0,SE211 Jönköping,,,,,,
252,TI,2006.0,SE211 Jönköping,,,,,,
253,TI,2006.0,SE211 Jönköping,,,,,,
254,TI,2006.0,SE211 Jönköping,,,,,,
255,TI,2006.0,SE211 Jönköping,,,,,,
256,TI,2006.0,SE211 Jönköping,,,,,,
257,TI,2006.0,SE211 Jönköping,,,,,,
258,TI,2006.0,SE211 Jönköping,,,,,,
259,TI,2006.0,SE211 Jönköping,,,,,,
260,TI,2006.0,SE211 Jönköping,,,,,,
261,TI,2006.0,SE211 Jönköping,,,,,,
262,TI,2006.0,SE211 Jönköping,,,,,,
263,TI,2006.0,SE211 Jönköping,,,,,,
264,TI,2006.0,SE211 Jönköping,,,,,,
265,TI,2006.0,SE211 Jönköping,,,,,,
266,TI,2006.0,SE211 Jönköping,,,,,,
267,TI,2006.0,SE211 Jönköping,,,,,,
268,TI,2006.0,SE211 Jönköping,,,,,,
269,TI,2006.0,SE211 Jönköping,,,,,,
270,TI,2006.0,SE211 Jönköping,,,,,,
271,TI,2006.0,SE211 Jönköping,,,,,,
272,TI,2006.0,SE211 Jönköping,,,,,,
273,TI,2006.0,SE211 Jönköping,,,,,,
274,TI,2006.0,SE211 Jönköping,,,,,,
275,TI,2006.0,SE211 Jönköping,,,,,,
276,TI,2006.0,SE211 Jönköping,,,,,,
277,TI,2006.0,SE211 Jönköping,,,,,,
278,TI,2006.0,SE211 Jönköping,,,,,,
279,TI,2006.0,SE211 Jönköping,,,,,,
280,TI,2006.0,SE211 Jönköping,,,,,,
281,TI,2006.0,SE211 Jönköping,,,,,,
282,TI,2006.0,SE211 Jönköping,,,,,,
283,TI,2006.0,SE211 Jönköping,,,,,,
284,TI,2006.0,SE211 Jönköping,,,,,,
285,TI,2006.0,SE211 Jönköping,,,,,,
286,TI,2006.0,SE211 Jönköping,,,,,,
287,TI,2006.0,SE211 Jönköping,,,,,,
288,TI,2006.0,SE211 Jönköping,,,,,,
289,TI,2006.0,SE211 Jönköping,,,,,,
290,TI,2006.0,SE211 Jönköping,,,,,,
291,TI,2006.0,SE211 Jönköping,,,,,,
292,TI,2006.0,SE211 Jönköping,,,,,,
293,TI,2006.0,SE211 Jönköping,,,,,,
294,TI,2006.0,SE211 Jönköping,,,,,,
295,TI,2006.0,SE211 Jönköping,,,,,,
296,TI,2006.0,SE211 Jönköping,,,,,,
297,TI,2006.0,SE211 Jönköping,,,,,,
298,TI,2006.0,SE211 Jönköping,,,,,,
299,TI,2006.0,SE211 Jönköping,,,,,,
300,TI,2006.0,SE211 Jönköping,,,,,,
301,TI,2006.0,SE211 Jönköping,,,,,,
302,TI,2006.0,SE211 Jönköping,,,,,,
303,TI,2006.0,SE211 Jönköping,,,,,,
304,TI,2006.0,SE211 Jönköping,,,,,,
305,TI,2006.0,SE211 Jönköping,,,,,,
306,TI,2006.0,SE211 Jönköping,,,,,,
307,TI,2006.0,SE211 Jönköping,,,,,,
308,TI,2006.0,SE211 Jönköping,,,,,,
309,TI,2006.0,SE211 Jönköping,,,,,,
310,TI,2006.0,SE211 Jönköping,,,,,,
311,TI,2006.0,SE211 Jönköping,,,,,,
312,TI,2006.0,SE211 Jönköping,,,,,,
313,TI,2006.0,SE211 Jönköping,,,,,,
314,TI,2006.0,SE211 Jönköping,,,,,,
315,TI,2006.0,SE211 Jönköping,,,,,,
316,TI,2006.0,SE211 Jönköping,,,,,,
317,TI,2006.0,SE211 Jönköping,,,,,,
318,TI,2006.0,SE211 Jönköping,,,,,,
319,TI,2006.0,SE211 Jönköping,,,,,,
320,TI,2006.0,SE211 Jönköping,,,,,,
321,TI,2006.0,SE211 Jönköping,,,,,,
322,TI,2006.0,SE211 Jönköping,,,,,,
323,TI,2006.0,SE211 Jönköping,,,,,,
324,TI,2006.0,SE211 Jönköping,,,,,,
325,TI,2006.0,SE211 Jönköping,,,,,,
326,TI,2006.0,SE211 Jönköping,,,,,,
327,TI,2006.0,SE211 Jönköping,,,,,,
328,TI,2006.0,SE211 Jönköping,,,,,,
329,TI,2006.0,SE211 Jönköping,,,,,,
330,TI,2006.0,SE211 Jönköping,,,,,,
331,TI,2006.0,SE211 Jönköping,,,,,,
332,TI,2006.0,SE211 Jönköping,,,,,,
333,TI,2006.0,SE211 Jönköping,,,,,,
334,TI,2006.0,SE211 Jönköping,,,,,,
335,TI,2006.0,SE211 Jönköping,,,,,,
336,TI,2006.0,SE211 Jönköping,,,,,,
337,TI,2006.0,SE211 Jönköping,,,,,,
338,TI,2006.0,SE211 Jönköping,,,,,,
339,TI,2006.0,SE211 Jönköping,,,,,,
340,TI,2006.0,SE211 Jönköping,,,,,,
341,TI,2006.0,SE211 Jönköping,,,,,,
342,TI,2006.0,SE211 Jönköping,,,,,,
343,TI,2006.0,SE211 Jönköping,,,,,,
344,TI,2006.0,SE211 Jönköping,,,,,,
345,TI,2006.0,SE211 Jönköping,,,,,,
346,TI,2006.0,SE211 Jönköping,,,,,,
347,TI,2006.0,SE212 Kronoberg,,,,,,
348,TI,2006.0,SE213 Kalmar,,,,,,
349,TI,2006.0,SE213 Kalmar,,,,,,
350,TI,2006.0,SE213 Kalmar,,,,,,
351,TI,2006.0,SE213 Kalmar,,,,,,
352,TI,2006.0,SE213 Kalmar,,,,,,
353,TI,2006.0,SE213 Kalmar,,,,,,
354,TI,2006.0,SE213 Kalmar,,,,,,
355,TI,2006.0,SE213 Kalmar,,,,,,
356,TI,2006.0,SE213 Kalmar,,,,,,
357,TI,2006.0,SE213 Kalmar,,,,,,
358,TI,2006.0,SE213 Kalmar,,,,,,
359,TI,2006.0,SE213 Kalmar,,,,,,
360,TI,2006.0,SE213 Kalmar,,,,,,
361,TI,2006.0,SE213 Kalmar,,,,,,
362,TI,2006.0,SE213 Kalmar,,,,,,
363,TI,2006.0,SE213 Kalmar,,,,,,
364,TI,2006.0,SE213 Kalmar,,,,,,
365,TI,2006.0,SE213 Kalmar,,,,,,
366,TI,2006.0,SE213 Kalmar,,,,,,
367,TI,2006.0,SE213 Kalmar,,,,,,
368,TI,2006.0,SE213 Kalmar,,,,,,
369,TI,2006.0,SE213 Kalmar,,,,,,
370,TI,2006.0,SE213 Kalmar,,,,,,
371,TI,2006.0,SE213 Kalmar,,,,,,
372,TI,2006.0,SE213 Kalmar,,,,,,
373,TI,2006.0,SE213 Kalmar,,,,,,
374,TI,2006.0,SE213 Kalmar,,,,,,
375,TI,2006.0,SE213 Kalmar,,,,,,
376,TI,2006.0,SE213 Kalmar,,,,,,
377,TI,2006.0,SE213 Kalmar,,,,,,
378,TI,2006.0,SE213 Kalmar,,,,,,
379,TI,2006.0,SE213 Kalmar,,,,,,
380,TI,2006.0,SE213 Kalmar,,,,,,
381,TI,2006.0,SE213 Kalmar,,,,,,
382,TI,2006.0,SE213 Kalmar,,,,,,
383,TI,2006.0,SE213 Kalmar,,,,,,
384,TI,2006.0,SE213 Kalmar,,,,,,
385,TI,2006.0,SE213 Kalmar,,,,,,
386,TI,2006.0,SE213 Kalmar,,,,,,
387,TI,2006.0,SE213 Kalmar,,,,,,
388,TI,2006.0,SE213 Kalmar,,,,,,
389,TI,2006.0,SE213 Kalmar,,,,,,
390,TI,2006.0,SE213 Kalmar,,,,,,
391,TI,2006.0,SE213 Kalmar,,,,,,
392,TI,2006.0,SE213 Kalmar,,,,,,
393,TI,2006.0,SE213 Kalmar,,,,,,
394,TI,2006.0,SE213 Kalmar,,,,,,
395,TI,2006.0,SE213 Kalmar,,,,,,
