workbook_row_index,observed_block_code,global_year,global_county,rifm__unnamed_1912_level_1,rifm__anm_lda_brott,rifm__unnamed_1914_level_1,rifm__anm_lda_brott_1,rifm__unnamed_1916_level_1,rifm__anm_lda_brott_2,rifm__unnamed_1918_level_1,rifm__anm_lda_brott_3,rifm__unnamed_1920_level_1,rifm__anm_lda_brott_4,rifm__unnamed_1922_level_1,rifm__brottsf_rebyggande_r_det,rifm__unnamed_1924_level_1,rifm__unnamed_1925_level_1,rifm__unnamed_1926_level_1,rifm__anm_lda_brott_5,rifm__unnamed_1928_level_1,rifm__brottsf_rebyggande_r_det_1,rifm__unnamed_1930_level_1,rifm__unnamed_1931_level_1,rifm__unnamed_1932_level_1,rifm__anm_lda_brott_6,rifm__unnamed_1934_level_1,rifm__brottsf_rebyggande_r_det_2,rifm__unnamed_1936_level_1,rifm__unnamed_1937_level_1,rifm__unnamed_1938_level_1,rifm__anm_lda_brott_7,rifm__unnamed_1940_level_1,rifm__brottsf_rebyggande_r_det_3,rifm__anm_lda_brott_8,rifm__unnamed_1943_level_1,rifm__brottsf_rebyggande_r_det_4,rifm__unnamed_1945_level_1,rifm__anm_lda_brott_9,rifm__unnamed_1947_level_1,rifm__anm_lda_brott_10,rifm__unnamed_1949_level_1,rifm__brottsf_rebyggande_r_det_5,rifm__unnamed_1951_level_1,rifm__unnamed_1952_level_1,rifm__anm_lda_brott_11,rifm__unnamed_1954_level_1,rifm__anm_lda_brott_12,rifm__unnamed_1956_level_1,rifm__brottsf_rebyggande_r_det_6,rifm__unnamed_1958_level_1,rifm__anm_lda_brott_13,rifm__unnamed_1960_level_1,rifm__anm_lda_brott_14,rifm__unnamed_1962_level_1,rifm__brottsf_rebyggande_r_det_7,rifm__unnamed_1964_level_1,rifm__unnamed_1965_level_1,rifm__unnamed_1966_level_1,rifm__anm_lda_brott_15,rifm__unnamed_1968_level_1,rifm__anm_lda_brott_16,rifm__unnamed_1970_level_1,rifm__anm_lda_brott_17,rifm__unnamed_1972_level_1,rifm__anm_lda_brott_18,rifm__unnamed_1974_level_1,rifm__anm_lda_brott_19,rifm__unnamed_1976_level_1
4536,RIFM,,,..,"1201 - Skadegörelse, på motorfordon",..,"1201 - Skadegörelse, på motorfordon",..,"1201 - Skadegörelse, på motorfordon",0,"1201 - Skadegörelse, på motorfordon",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4052 - Olovlig befattning med punktskattepliktiga varor (upphörde år 2010),..,,,,,4052 - Olovlig befattning med punktskattepliktiga varor (upphörde år 2010),..,,,,,,,"9644 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom släktskap/familj, inomhus",..,"9644 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom släktskap/familj, inomhus",..,"9644 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom släktskap/familj, inomhus",..,"9644 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom släktskap/familj, inomhus",0,"9644 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom släktskap/familj, inomhus",0
4537,RIFM,,,..,"1202 - Skadegörelse, genom brand, även på motorfordon (upphörde år 2016)",..,"1202 - Skadegörelse, genom brand, även på motorfordon (upphörde år 2016)",..,"1202 - Skadegörelse, genom brand, även på motorfordon (upphörde år 2016)",0,"1202 - Skadegörelse, genom brand, även på motorfordon (upphörde år 2016)",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4053 - Olovlig förflyttning och befattn. m. punktskattepliktiga varor (upphörde år 2017),..,,,,,4053 - Olovlig förflyttning och befattn. m. punktskattepliktiga varor (upphörde år 2017),..,,,,,,,"9645 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit bekanta genom annan slags relation, inomhus",..,"9645 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit bekanta genom annan slags relation, inomhus",..,"9645 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit bekanta genom annan slags relation, inomhus",..,"9645 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit bekanta genom annan slags relation, inomhus",0,"9645 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit bekanta genom annan slags relation, inomhus",0
4538,RIFM,,,..,1203 - Annan skadegörelse (ej klotter),..,1203 - Annan skadegörelse (ej klotter),..,1203 - Annan skadegörelse (ej klotter),..,1203 - Annan skadegörelse (ej klotter),..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4054 - Synnerligen grov narkotikasmuggling (upphörde år 2023),..,,,,,4054 - Synnerligen grov narkotikasmuggling (upphörde år 2023),..,,,,,,,"9646 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, obekanta, inomhus",..,"9646 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, obekanta, inomhus",..,"9646 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, obekanta, inomhus",..,"9646 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, obekanta, inomhus",0,"9646 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, obekanta, inomhus",0
4539,RIFM,,,..,1204 - Tagande av olovlig väg,..,1204 - Tagande av olovlig väg,..,1204 - Tagande av olovlig väg,0,1204 - Tagande av olovlig väg,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4055 - Smuggling, olovlig in- och utförsel av alkohol- eller tobaksvaror",0,,,,,"4055 - Smuggling, olovlig in- och utförsel av alkohol- eller tobaksvaror",0,,,,,,,"9647 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom parrelation, utomhus",..,"9647 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom parrelation, utomhus",..,"9647 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom parrelation, utomhus",..,"9647 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom parrelation, utomhus",0,"9647 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom parrelation, utomhus",0
4540,RIFM,,,..,"1205 - Skadegörelse, mot stat, kommun, landsting (ej klotter)",..,"1205 - Skadegörelse, mot stat, kommun, landsting (ej klotter)",..,"1205 - Skadegörelse, mot stat, kommun, landsting (ej klotter)",0,"1205 - Skadegörelse, mot stat, kommun, landsting (ej klotter)",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4056 - Smuggling, olovlig in- och utförsel av vapen eller brandfarliga och explosiva varor",..,,,,,"4056 - Smuggling, olovlig in- och utförsel av vapen eller brandfarliga och explosiva varor",..,,,,,,,"9648 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom släktskap/familj, utomhus",..,"9648 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom släktskap/familj, utomhus",..,"9648 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom släktskap/familj, utomhus",..,"9648 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom släktskap/familj, utomhus",0,"9648 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom släktskap/familj, utomhus",0
4541,RIFM,,,..,"1206 - Skadegörelse, datasabotage",..,"1206 - Skadegörelse, datasabotage",..,"1206 - Skadegörelse, datasabotage",..,"1206 - Skadegörelse, datasabotage",..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4057 - Smuggling, olovlig in- och utförsel av övriga varor, ej alkohol, tobak, vapen eller brandfarliga och explosiva varor",..,,,,,"4057 - Smuggling, olovlig in- och utförsel av övriga varor, ej alkohol, tobak, vapen eller brandfarliga och explosiva varor",..,,,,,,,"9649 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit bekanta genom annan slags relation, utomhus",..,"9649 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit bekanta genom annan slags relation, utomhus",..,"9649 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit bekanta genom annan slags relation, utomhus",..,"9649 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit bekanta genom annan slags relation, utomhus",0,"9649 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit bekanta genom annan slags relation, utomhus",0
4542,RIFM,,,..,1207 - Klotter (upphörde år 2005),..,1207 - Klotter (upphörde år 2005),..,1207 - Klotter (upphörde år 2005),..,1207 - Klotter (upphörde år 2005),..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4058 - Grov smuggling, alkohol- eller tobaksvaror",0,,,,,"4058 - Grov smuggling, alkohol- eller tobaksvaror",0,,,,,,,"9650 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, obekanta, utomhus",..,"9650 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, obekanta, utomhus",..,"9650 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, obekanta, utomhus",..,"9650 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, obekanta, utomhus",0,"9650 - Försök till våldtäkt inkl. grov, mot man 18 år eller äldre, obekanta, utomhus",0
4543,RIFM,,,..,1208 - klotter mot kollektivtrafik,..,1208 - klotter mot kollektivtrafik,..,1208 - klotter mot kollektivtrafik,0,1208 - klotter mot kollektivtrafik,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4059 - Grov smuggling, vapen eller brandfarliga och explosiva varor",..,,,,,"4059 - Grov smuggling, vapen eller brandfarliga och explosiva varor",..,,,,,,,"9651 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom parrelation, inomhus",..,"9651 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom parrelation, inomhus",..,"9651 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom parrelation, inomhus",..,"9651 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom parrelation, inomhus",0,"9651 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom parrelation, inomhus",0
4544,RIFM,,,..,1209 - klotter övrigt,..,1209 - klotter övrigt,..,1209 - klotter övrigt,0,1209 - klotter övrigt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4060 - Grov smuggling, övriga varor, ej alkohol, tobak, vapen eller brandfarliga och explosiva varor",..,,,,,"4060 - Grov smuggling, övriga varor, ej alkohol, tobak, vapen eller brandfarliga och explosiva varor",..,,,,,,,"9652 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom släktskap/familj, inomhus",..,"9652 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom släktskap/familj, inomhus",..,"9652 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom släktskap/familj, inomhus",..,"9652 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom släktskap/familj, inomhus",0,"9652 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom släktskap/familj, inomhus",0
4545,RIFM,,,..,"1210 - Skadegörelse, genom brand (ej på motorfordon)",..,"1210 - Skadegörelse, genom brand (ej på motorfordon)",..,"1210 - Skadegörelse, genom brand (ej på motorfordon)",0,"1210 - Skadegörelse, genom brand (ej på motorfordon)",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4061 - Tullbrott, vårdslös tullredovisning, alhohol- eller tobaksvaror",0,,,,,"4061 - Tullbrott, vårdslös tullredovisning, alhohol- eller tobaksvaror",0,,,,,,,"9653 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit bekanta genom annan slags relation, inomhus",..,"9653 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit bekanta genom annan slags relation, inomhus",..,"9653 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit bekanta genom annan slags relation, inomhus",..,"9653 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit bekanta genom annan slags relation, inomhus",0,"9653 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit bekanta genom annan slags relation, inomhus",0
4546,RIFM,,,..,"1211 - Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)",..,"1211 - Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)",..,"1211 - Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)",0,"1211 - Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4062 - Tullbrott, vårdslös tullredovisning, övriga varor, ej akohol- eller tobaksvaror",..,,,,,"4062 - Tullbrott, vårdslös tullredovisning, övriga varor, ej akohol- eller tobaksvaror",..,,,,,,,"9654 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, obekanta, inomhus",..,"9654 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, obekanta, inomhus",..,"9654 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, obekanta, inomhus",..,"9654 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, obekanta, inomhus",0,"9654 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, obekanta, inomhus",0
4547,RIFM,,,..,1212 - Annan skadegörelse (ej klotter),..,1212 - Annan skadegörelse (ej klotter),..,1212 - Annan skadegörelse (ej klotter),0,1212 - Annan skadegörelse (ej klotter),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4063 - Olovlig beffatning med smuggelgods, alkohol- eller tobaksvaror",0,,,,,"4063 - Olovlig beffatning med smuggelgods, alkohol- eller tobaksvaror",0,,,,,,,"9655 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom parrelation, utomhus",..,"9655 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom parrelation, utomhus",..,"9655 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom parrelation, utomhus",..,"9655 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom parrelation, utomhus",0,"9655 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom parrelation, utomhus",0
4548,RIFM,,,..,"1301 - Mordbrand, grov mordbrand",..,"1301 - Mordbrand, grov mordbrand",..,"1301 - Mordbrand, grov mordbrand",0,"1301 - Mordbrand, grov mordbrand",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4064 - Olovlig befattning med smuggelgods, vapen eller brandfarliga och explosiva varor",..,,,,,"4064 - Olovlig befattning med smuggelgods, vapen eller brandfarliga och explosiva varor",..,,,,,,,"9656 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom släktskap/familj, utomhus",..,"9656 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom släktskap/familj, utomhus",..,"9656 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom släktskap/familj, utomhus",..,"9656 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom släktskap/familj, utomhus",0,"9656 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit närstående genom släktskap/familj, utomhus",0
4549,RIFM,,,..,"1302 - Allm vårdslöshet, våll av brand som ej redov som mordbr m.m.",..,"1302 - Allm vårdslöshet, våll av brand som ej redov som mordbr m.m.",..,"1302 - Allm vårdslöshet, våll av brand som ej redov som mordbr m.m.",0,"1302 - Allm vårdslöshet, våll av brand som ej redov som mordbr m.m.",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4065 - Olovlig befattning med smuggelgods, övriga varor, ej alkohol, tobak, vapen eller brandfarliga och explosiva varor",..,,,,,"4065 - Olovlig befattning med smuggelgods, övriga varor, ej alkohol, tobak, vapen eller brandfarliga och explosiva varor",..,,,,,,,"9657 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit bekanta genom annan slags relation, utomhus",..,"9657 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit bekanta genom annan slags relation, utomhus",..,"9657 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit bekanta genom annan slags relation, utomhus",..,"9657 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit bekanta genom annan slags relation, utomhus",0,"9657 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, är eller har varit bekanta genom annan slags relation, utomhus",0
4550,RIFM,,,..,1303 - Annan allmänfarlig vårdslöshet,..,1303 - Annan allmänfarlig vårdslöshet,..,1303 - Annan allmänfarlig vårdslöshet,0,1303 - Annan allmänfarlig vårdslöshet,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4066 - Olovlig befattning med smuggelgods, narkotika",0,,,,,"4066 - Olovlig befattning med smuggelgods, narkotika",0,,,,,,,"9658 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, obekanta, utomhus",..,"9658 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, obekanta, utomhus",..,"9658 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, obekanta, utomhus",..,"9658 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, obekanta, utomhus",0,"9658 - Fullbordad våldtäkt inkl. grov, mot man 18 år eller äldre, obekanta, utomhus",0
4551,RIFM,,,..,"1304 - Övr brott mot kap. 13, allmfarl ödeläg, sabotage, kapning (upphörde år 2018)",..,"1304 - Övr brott mot kap. 13, allmfarl ödeläg, sabotage, kapning (upphörde år 2018)",..,"1304 - Övr brott mot kap. 13, allmfarl ödeläg, sabotage, kapning (upphörde år 2018)",..,"1304 - Övr brott mot kap. 13, allmfarl ödeläg, sabotage, kapning (upphörde år 2018)",..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4067 - Olovlig befattning med punktskattepliktiga varor,0,,,,,4067 - Olovlig befattning med punktskattepliktiga varor,0,,,,,,,"9659 - Oaktsam våldtäkt, mot kvinna 18 år eller äldre, är eller har varit närstående genom parrelation, utomhus",..,"9659 - Oaktsam våldtäkt, mot kvinna 18 år eller äldre, är eller har varit närstående genom parrelation, utomhus",..,"9659 - Oaktsam våldtäkt, mot kvinna 18 år eller äldre, är eller har varit närstående genom parrelation, utomhus",..,"9659 - Oaktsam våldtäkt, mot kvinna 18 år eller äldre, är eller har varit närstående genom parrelation, utomhus",0,"9659 - Oaktsam våldtäkt, mot kvinna 18 år eller äldre, är eller har varit närstående genom parrelation, utomhus",0
4552,RIFM,,,..,1305 - Miljöbrott (8a §) (upphörde år 2000),..,1305 - Miljöbrott (8a §) (upphörde år 2000),..,1305 - Miljöbrott (8a §) (upphörde år 2000),..,1305 - Miljöbrott (8a §) (upphörde år 2000),..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4068 - Olovlig förflyttning av punktskattepliktiga varor,0,,,,,4068 - Olovlig förflyttning av punktskattepliktiga varor,0,,,,,,,"9660 - Oaktsam våldtäkt, mot kvinna 18 år eller äldre, är eller har varit närstående genom släktskap/familj, utomhus",..,"9660 - Oaktsam våldtäkt, mot kvinna 18 år eller äldre, är eller har varit närstående genom släktskap/familj, utomhus",..,"9660 - Oaktsam våldtäkt, mot kvinna 18 år eller äldre, är eller har varit närstående genom släktskap/familj, utomhus",..,"9660 - Oaktsam våldtäkt, mot kvinna 18 år eller äldre, är eller har varit närstående genom släktskap/familj, utomhus",0,"9660 - Oaktsam våldtäkt, mot kvinna 18 år eller äldre, är eller har varit närstående genom släktskap/familj, utomhus",0
4553,RIFM,,,..,"1306 - Sprida gift/smitta, förgöring, vårdslös med gift/smitta (§§ 7-9) (upphörde år 2000)",..,"1306 - Sprida gift/smitta, förgöring, vårdslös med gift/smitta (§§ 7-9) (upphörde år 2000)",..,"1306 - Sprida gift/smitta, förgöring, vårdslös med gift/smitta (§§ 7-9) (upphörde år 2000)",..,"1306 - Sprida gift/smitta, förgöring, vårdslös med gift/smitta (§§ 7-9) (upphörde år 2000)",..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4069 - Uppsåtligen uppehåller sig i Sverige trots beslut om utvisning,0,,,,,4069 - Uppsåtligen uppehåller sig i Sverige trots beslut om utvisning,0,,,,,,,"9661 - Oaktsam våldtäkt, mot kvinna 18 år eller äldre, är eller har varit bekanta genom annan slags relation, utomhus",..,"9661 - Oaktsam våldtäkt, mot kvinna 18 år eller äldre, är eller har varit bekanta genom annan slags relation, utomhus",..,"9661 - Oaktsam våldtäkt, mot kvinna 18 år eller äldre, är eller har varit bekanta genom annan slags relation, utomhus",..,"9661 - Oaktsam våldtäkt, mot kvinna 18 år eller äldre, är eller har varit bekanta genom annan slags relation, utomhus",0,"9661 - Oaktsam våldtäkt, mot kvinna 18 år eller äldre, är eller har varit bekanta genom annan slags relation, utomhus",0
4554,RIFM,,,..,"1307 - Sprida gift/smitta, förgöring, vårdslös med gift/smitta (§§ 7-9)",..,"1307 - Sprida gift/smitta, förgöring, vårdslös med gift/smitta (§§ 7-9)",..,"1307 - Sprida gift/smitta, förgöring, vårdslös med gift/smitta (§§ 7-9)",..,"1307 - Sprida gift/smitta, förgöring, vårdslös med gift/smitta (§§ 7-9)",..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4071 - Har utlänning anställd som inte har rätt att vistas i Sverige, eller saknar arbetstillstånd",0,,,,,"4071 - Har utlänning anställd som inte har rätt att vistas i Sverige, eller saknar arbetstillstånd",0,,,,,,,"9662 - Oaktsam våldtäkt, mot kvinna 18 år eller äldre, obekanta, utomhus",..,"9662 - Oaktsam våldtäkt, mot kvinna 18 år eller äldre, obekanta, utomhus",..,"9662 - Oaktsam våldtäkt, mot kvinna 18 år eller äldre, obekanta, utomhus",..,"9662 - Oaktsam våldtäkt, mot kvinna 18 år eller äldre, obekanta, utomhus",0,"9662 - Oaktsam våldtäkt, mot kvinna 18 år eller äldre, obekanta, utomhus",0
4555,RIFM,,,..,"1308 - Allmänfarlig ödeläggelse, genom sprängning",..,"1308 - Allmänfarlig ödeläggelse, genom sprängning",..,"1308 - Allmänfarlig ödeläggelse, genom sprängning",..,"1308 - Allmänfarlig ödeläggelse, genom sprängning",..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4072 - Övriga brott mot utlänningslagen,..,,,,,4072 - Övriga brott mot utlänningslagen,..,,,,,,,"9663 - Oaktsam våldtäkt, mot man 18 år eller äldre, är eller har varit närstående genom parrelation, utomhus",..,"9663 - Oaktsam våldtäkt, mot man 18 år eller äldre, är eller har varit närstående genom parrelation, utomhus",..,"9663 - Oaktsam våldtäkt, mot man 18 år eller äldre, är eller har varit närstående genom parrelation, utomhus",..,"9663 - Oaktsam våldtäkt, mot man 18 år eller äldre, är eller har varit närstående genom parrelation, utomhus",0,"9663 - Oaktsam våldtäkt, mot man 18 år eller äldre, är eller har varit närstående genom parrelation, utomhus",0
4556,RIFM,,,..,"1309 - Allmänfarlig ödeläggelse, ej genom sprängning",..,"1309 - Allmänfarlig ödeläggelse, ej genom sprängning",..,"1309 - Allmänfarlig ödeläggelse, ej genom sprängning",0,"1309 - Allmänfarlig ödeläggelse, ej genom sprängning",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4073 - Vapenbrott. innehav av pistol, revolver eller kulsprutepistol (upphörde år 2023)",..,,,,,"4073 - Vapenbrott. innehav av pistol, revolver eller kulsprutepistol (upphörde år 2023)",..,,,,,,,"9664 - Oaktsam våldtäkt, mot man 18 år eller äldre, är eller har varit närstående genom släktskap/familj, utomhus",..,"9664 - Oaktsam våldtäkt, mot man 18 år eller äldre, är eller har varit närstående genom släktskap/familj, utomhus",..,"9664 - Oaktsam våldtäkt, mot man 18 år eller äldre, är eller har varit närstående genom släktskap/familj, utomhus",..,"9664 - Oaktsam våldtäkt, mot man 18 år eller äldre, är eller har varit närstående genom släktskap/familj, utomhus",0,"9664 - Oaktsam våldtäkt, mot man 18 år eller äldre, är eller har varit närstående genom släktskap/familj, utomhus",0
4557,RIFM,,,..,"1310 - Övriga brott mot 13 kap., sabotage inkl. grovt, kapning, sjö- eller luftfartssabotage, flygplatssabotage, underlåtenhet att",..,"1310 - Övriga brott mot 13 kap., sabotage inkl. grovt, kapning, sjö- eller luftfartssabotage, flygplatssabotage, underlåtenhet att",..,"1310 - Övriga brott mot 13 kap., sabotage inkl. grovt, kapning, sjö- eller luftfartssabotage, flygplatssabotage, underlåtenhet att",0,"1310 - Övriga brott mot 13 kap., sabotage inkl. grovt, kapning, sjö- eller luftfartssabotage, flygplatssabotage, underlåtenhet att",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4074 - Grovt vapenbrott, synnerligen grovt vapenbrott. innehav av pistol, revolver eller kulsprutepistol (upphörde år 2023)",..,,,,,"4074 - Grovt vapenbrott, synnerligen grovt vapenbrott. innehav av pistol, revolver eller kulsprutepistol (upphörde år 2023)",..,,,,,,,"9665 - Oaktsam våldtäkt, mot man 18 år eller äldre, är eller har varit bekanta genom annan slags relation, utomhus",..,"9665 - Oaktsam våldtäkt, mot man 18 år eller äldre, är eller har varit bekanta genom annan slags relation, utomhus",..,"9665 - Oaktsam våldtäkt, mot man 18 år eller äldre, är eller har varit bekanta genom annan slags relation, utomhus",..,"9665 - Oaktsam våldtäkt, mot man 18 år eller äldre, är eller har varit bekanta genom annan slags relation, utomhus",0,"9665 - Oaktsam våldtäkt, mot man 18 år eller äldre, är eller har varit bekanta genom annan slags relation, utomhus",0
4558,RIFM,,,..,1311 - Sabotage mot blåljusverksamhet inkl. grovt,..,1311 - Sabotage mot blåljusverksamhet inkl. grovt,..,1311 - Sabotage mot blåljusverksamhet inkl. grovt,0,1311 - Sabotage mot blåljusverksamhet inkl. grovt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4075 - Vapenbrott. innehav av jaktvapen,0,,,,,4075 - Vapenbrott. innehav av jaktvapen,0,,,,,,,"9666 - Oaktsam våldtäkt, mot man 18 år eller äldre, obekanta, utomhus",..,"9666 - Oaktsam våldtäkt, mot man 18 år eller äldre, obekanta, utomhus",..,"9666 - Oaktsam våldtäkt, mot man 18 år eller äldre, obekanta, utomhus",..,"9666 - Oaktsam våldtäkt, mot man 18 år eller äldre, obekanta, utomhus",0,"9666 - Oaktsam våldtäkt, mot man 18 år eller äldre, obekanta, utomhus",0
