workbook_row_index,observed_block_code,global_year,global_county,prid__swedish_monetary_financial_institutions_updated_10_january_2025,prid__unnamed_1464_level_1,prid__unnamed_1465_level_1,prid__unnamed_1466_level_1,prid__unnamed_1467_level_1,prid__unnamed_1468_level_1,prid__unnamed_1469_level_1,prid__unnamed_1470_level_1,prid__unnamed_1471_level_1
49,PRID,2006.0,SE122 Södermanland,12324,532800-6209,5493004YT7TCCEXDWC93,Bank,Häradssparbanken Mönsterås,Storgatan 44,,383 30,Mönsterås
50,PRID,2006.0,SE122 Södermanland,12222,532800-6217,549300KI4VIXNXO72O08,Bank,Högsby Sparbank,Storgatan 41,,579 30,Högsby
51,PRID,2006.0,SE122 Södermanland,11137,516401-0190,54930000FBL4N1E6OH14,Bank,ICA Banken AB,Kolonnvägen 20,,169 71,Solna
52,PRID,2006.0,SE122 Södermanland,11153,516406-0922,5493004D82XDFVPWQJ91,Bank,Ikano Bank AB (publ),Hyllie Boulevard 27,,215 32,Malmö
53,PRID,2006.0,SE122 Södermanland,48003,556965-3537,894500Q1UHXHCWFTYQ16,Other MFI,Intergiro Intl AB (publ),Norrlandsgatan 10,,111 56,Stockholm
54,PRID,2006.0,SE122 Södermanland,12326,538201-3109,5493009X2RY8PBSO5D20,Bank,Ivetofta Sparbank i Bromölla,Storgatan 31,,295 31,Bromölla
55,PRID,2006.0,SE122 Södermanland,11682,516406-1110,,Bank,J.P. Morgan SE - Stockholm Bankfilial,Sveavägen 20,,111 57,Stockholm
56,PRID,2006.0,SE122 Södermanland,11401,516401-9969,549300LQR5JY5EOLWS35,Bank,JAK Medlemsbank,Vasagatan 14,,541 51,Skövde
57,PRID,2006.0,SE122 Södermanland,66954,516406-1235,,Bank,"Joh. Berenberg, Gossler & Co. KG, Stockholm Bankfilial",Malmskillnadsgatan 32,,111 51,Stockholm
58,PRID,2006.0,SE122 Södermanland,12216,522001-5985,549300CRL5G2LRXKWQ97,Bank,Kinda-Ydre Sparbank,Grönedegatan 6,,590 37,Kisa
59,PRID,2006.0,SE122 Södermanland,41538,556737-0431,549300O3HXYXXUHR0897,Bank,Klarna Bank AB,Sveavägen 46,,111 34,Stockholm
60,PRID,2006.0,SE122 Södermanland,31004,556281-4409,EV2XZWMLLXF2QRX0CD47,Other MFI,Kommuninvest i Sverige Aktiebolag,Drottninggatan 2,,702 10,Örebro
61,PRID,2006.0,SE122 Södermanland,12381,549201-6059,5493009O05ZDMPCD0140,Bank,Laholms Sparbank,Stortorget 6,,312 30,Laholm
62,PRID,2006.0,SE122 Södermanland,11679,516406-1094,,Bank,Landesbank Hessen-Thüringen Girozentrale Stockholm Filial,Kungsgatan 3,,111 43,Stockholm
63,PRID,2006.0,SE122 Södermanland,33013,556500-2762,5493004WUGGU2BQI7F14,Bank,Landshypotek Bank Aktiebolag,Regeringsgatan 48,,111 56,Stockholm
64,PRID,2006.0,SE122 Södermanland,41531,556664-8118,529900CCCFLJAB3BTS65,Finance company,Lantmännen Finans AB,Sankt Göransgatan 160,,112 17,Stockholm
65,PRID,2006.0,SE122 Södermanland,75263,559465-8196,984500E137EF5A5E0F05,Bank,Lea Bank AB,Fabriksgatan 7,,412 50,Göteborg
66,PRID,2006.0,SE122 Södermanland,12329,575001-9803,549300JJKAF5NX1OOB75,Bank,Lekebergs Sparbank,Storgatan 15-17,,716 30,Fjugesta
67,PRID,2006.0,SE122 Södermanland,12203,583201-2529,5493004J2HGJVGEJNA02,Bank,Leksands Sparbank,Sparbanksgatan 1,,793 31,Leksand
68,PRID,2006.0,SE122 Södermanland,11669,516406-0971,,Bank,"Lån & Spar Sverige, bankfilial",,Box 4114,203 12,Malmö
69,PRID,2006.0,SE122 Södermanland,11122,516401-9878,549300C6TUMDXNOVXS82,Bank,Länsförsäkringar Bank Aktiebolag,Tegeluddsvägen 11-13,,115 41,Stockholm
70,PRID,2006.0,SE122 Södermanland,41249,556244-1781,5493001P7BX1N0JAG961,Housing credit institution,Länsförsäkringar Hypotek AB (publ),Tegeluddsvägen 11,,115 41,Stockholm
