workbook_row_index,observed_block_code,global_year,global_county,source_column,period_year,period_label,value_raw,value_numeric
13,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,-43215.0,-43215.0
14,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,355889.0,355889.0
15,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,104604.0,104604.0
16,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,183582.0,183582.0
17,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,6724.0,6724.0
18,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,36084.0,36084.0
19,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,15525.0,15525.0
20,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,9369.0,9369.0
21,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,0.0,0.0
22,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,658563.0,658563.0
23,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,510997.0,510997.0
24,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,11907.0,11907.0
25,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,5608.0,5608.0
26,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,6636.0,6636.0
27,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,4546.0,4546.0
28,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,53795.0,53795.0
29,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,21920.0,21920.0
30,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,5688.0,5688.0
31,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,22549.0,22549.0
32,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,7339.0,7339.0
33,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,7576.0,7576.0
34,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,-6605.0,-6605.0
35,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,-16127.0,-16127.0
36,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,9522.0,9522.0
37,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,2336928.0,2.336928e+06
38,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,7339.0,7339.0
39,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,2329589.0,2.329589e+06
0,TD,2006.0,SE11 Stockholm region,td__2022,2022.0,2022,1400554.0,1.400554e+06
1,TD,2006.0,SE110 Stockholm,td__2022,2022.0,2022,724071.0,724071.0
2,TD,2006.0,SE12 Östra Mellansverige,td__2022,2022.0,2022,852510.0,852510.0
3,TD,2006.0,SE121 Uppsala,td__2022,2022.0,2022,60693.0,60693.0
4,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,145337.0,145337.0
5,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,-334469.0,-334469.0
6,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,0.0,0.0
7,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,676483.0,676483.0
8,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,669450.0,669450.0
9,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,11809.0,11809.0
10,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,58320.0,58320.0
11,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,-17331.0,-17331.0
12,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,632.0,632.0
13,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,-46398.0,-46398.0
14,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,365602.0,365602.0
15,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,92892.0,92892.0
16,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,192994.0,192994.0
17,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,8294.0,8294.0
18,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,38600.0,38600.0
19,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,15759.0,15759.0
20,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,12340.0,12340.0
21,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,4723.0,4723.0
22,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,718249.0,718249.0
23,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,559621.0,559621.0
24,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,13158.0,13158.0
25,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,5513.0,5513.0
26,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,6496.0,6496.0
27,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,4583.0,4583.0
28,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,44718.0,44718.0
29,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,21229.0,21229.0
30,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,24446.0,24446.0
31,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,22527.0,22527.0
32,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,9329.0,9329.0
33,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,6630.0,6630.0
34,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,9010.0,9010.0
35,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,-13654.0,-13654.0
36,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,22665.0,22665.0
37,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,2493416.0,2.493416e+06
38,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,9329.0,9329.0
39,TD,2006.0,SE122 Södermanland,td__2022,2022.0,2022,2484087.0,2.484087e+06
0,TD,2006.0,SE11 Stockholm region,td__2023,2023.0,2023,1473542.0,1.473542e+06
1,TD,2006.0,SE110 Stockholm,td__2023,2023.0,2023,749687.0,749687.0
2,TD,2006.0,SE12 Östra Mellansverige,td__2023,2023.0,2023,893371.0,893371.0
3,TD,2006.0,SE121 Uppsala,td__2023,2023.0,2023,55929.0,55929.0
4,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,152846.0,152846.0
5,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,-352458.0,-352458.0
6,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,0.0,0.0
7,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,723854.0,723854.0
8,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,707625.0,707625.0
9,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,11505.0,11505.0
10,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,61482.0,61482.0
11,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,-8262.0,-8262.0
12,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,558.0,558.0
13,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,-49054.0,-49054.0
14,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,356757.0,356757.0
15,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,71692.0,71692.0
16,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,201267.0,201267.0
17,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,18800.0,18800.0
18,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,39771.0,39771.0
19,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,10313.0,10313.0
20,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,9433.0,9433.0
21,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,5481.0,5481.0
22,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,725823.0,725823.0
23,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,557861.0,557861.0
24,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,11483.0,11483.0
25,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,5554.0,5554.0
26,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,6857.0,6857.0
27,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,4710.0,4710.0
28,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,45563.0,45563.0
29,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,22655.0,22655.0
