seed,experiment,entity_id,entity_code,entity_name,test_year_count,entity_test_mse,entity_test_mae,k_star,omega_peak,omega_1,omega_2,omega_3,proxy_income_level_true,proxy_income_level_pred,proxy_income_recent_level_true,proxy_income_recent_level_pred,proxy_income_growth_signal_true,proxy_income_growth_signal_pred
0,fullspan_income_k3_cmdl_seed0,10,SE221,Blekinge,3,1.6742465190405322,1.2797411680221558,2.414855718612671,3,0.10321394354104996,0.37871646881103516,0.5180696249008179,-0.8427590131759644,0.1937100887298584,-0.9457042217254639,0.19646084308624268,-1.3352458477020264,0.11787496507167816
0,fullspan_income_k3_cmdl_seed0,11,SE224,Skåne,3,1.5182985312460222,1.2158989508946736,2.3835229873657227,3,0.10111000388860703,0.4142569601535797,0.48463302850723267,-1.003313660621643,-0.02161651849746704,-0.7420020699501038,-0.021923482418060303,0.4868941009044647,-0.013153910636901855
0,fullspan_income_k3_cmdl_seed0,12,SE231,Halland,3,2.1364561309416623,1.4469383160273235,2.440422534942627,3,0.10533862560987473,0.34890007972717285,0.545761227607727,1.0436242818832397,0.3938438892364502,1.1576299667358398,0.3994366526603699,1.582605004310608,0.23965884745121002
0,fullspan_income_k3_cmdl_seed0,13,SE232,Västra Götaland,3,1.6018510076157166,1.2478574514389038,2.406092643737793,3,0.10257808864116669,0.3887508809566498,0.5086709856987,0.672421932220459,0.13073891401290894,0.9395136833190918,0.13259544968605042,1.2788063287734985,0.07955621182918549
0,fullspan_income_k3_cmdl_seed0,14,SE311,Värmland,3,1.7398539311244434,1.2980247735977173,2.385030746459961,3,0.10120128840208054,0.4125669300556183,0.48623186349868774,-0.8402035236358643,-0.011820197105407715,-0.5693495273590088,-0.011988043785095215,0.23329639434814453,-0.007192730903625488
0,fullspan_income_k3_cmdl_seed0,15,SE312,Dalarna,3,1.5928021986356338,1.2413278818130493,2.3799099922180176,3,0.10089483112096786,0.41830021142959595,0.4808049499988556,-0.2823609411716461,-0.04490017890930176,-0.42844921350479126,-0.04553776979446411,-0.9081844687461853,-0.027322307229042053
0,fullspan_income_k3_cmdl_seed0,16,SE313,Gävleborg,3,1.5692258945234983,1.228585163752238,2.4037439823150635,3,0.10241442173719406,0.39142706990242004,0.5061584711074829,-0.62269526720047,0.11425971984863281,-0.8649656772613525,0.11588224768638611,-1.4164929389953613,0.06952844560146332
0,fullspan_income_k3_cmdl_seed0,17,SE321,Västernorrland,3,1.4169887050104204,1.1686349312464397,2.375642776489258,3,0.10064697265625,0.4230633080005646,0.4762897193431854,0.2921362519264221,-0.07206399738788605,0.03829967975616455,-0.07308734953403473,-1.1413333415985107,-0.0438518226146698
0,fullspan_income_k3_cmdl_seed0,18,SE322,Jämtland,3,1.8531514306032146,1.345728834470113,2.425252914428711,3,0.10402512550354004,0.36669686436653137,0.529278039932251,-0.913016140460968,0.2718415856361389,-0.8165866136550903,0.2757018208503723,-0.2615734338760376,0.16541890799999237
0,fullspan_income_k3_cmdl_seed0,19,SE331,Västerbotten,3,1.7669836869321642,1.3121029138565063,2.2455196380615234,2,0.09553304314613342,0.5634141564369202,0.3410528004169464,0.04706485569477081,-0.8093620538711548,-0.0063640098087489605,-0.8208553194999695,-0.012376036494970322,-0.4925066828727722
0,fullspan_income_k3_cmdl_seed0,20,SE332,Norrbotten,3,1.8366216956057098,1.3394095500310261,2.404599666595459,3,0.10247372090816498,0.3904527723789215,0.5070734620094299,0.6600732803344727,0.1202448308467865,0.6620081067085266,0.1219523549079895,0.7299321293830872,0.07317043840885162
1,fullspan_income_k3_cmdl_seed1,0,SE110,Stockholm,3,1.7228244930486436,1.2949154774347942,1.5588271617889404,1,0.6940107941627502,0.05315129831433296,0.2528378963470459,3.1035892963409424,0.7675347328186035,3.122511863708496,0.9387962818145752,2.0450494289398193,1.291922688484192
1,fullspan_income_k3_cmdl_seed1,1,SE121,Uppsala,3,1.3976000909938289,1.1678805351257324,1.5525798797607422,1,0.6971766352653503,0.05306679755449295,0.24975654482841492,0.7865705490112305,0.6863259077072144,0.8276240229606628,0.8394671678543091,0.5018806457519531,1.155231237411499
1,fullspan_income_k3_cmdl_seed1,2,SE122,Södermanland,3,1.9483316970580564,1.3773630062739055,1.4555628299713135,1,0.746191680431366,0.052053775638341904,0.20175454020500183,-0.15379680693149567,-0.7526012659072876,-0.49630576372146606,-0.9205305576324463,-1.5125248432159424,-1.2667863368988037
