experiment,model,ablation,feature_bundle,seed,max_lag,seq_features,best_epoch,train_years,val_years,test_years,proxy_static_cross_section_degenerate,target_entity_mean_degenerate,zero_variance_proxy_static_columns,summary_path,test_mse,test_mae,test_r2,test_r2_delta_vs_train_mean,test_r2_delta_vs_entity_mean,test_r2_delta_vs_persistence,test_r2_delta_vs_panel_ols,test_r2_delta_vs_grouped_ardl,test_kstar_mean,test_kstar_std,test_kstar_proxy_spearman_adjusted_rho,test_kstar_proxy_mean_spearman_adjusted_rho,test_lag_gate_sensitivity_range,test_omega_entropy_mean,test_omega_top1_share,test_proxy_recon_r2,test_proxy_anchor_recon_r2,test_baseline_grouped_ardl_r2,test_baseline_grouped_ardl_effective_lag_mean
multiseq_overlap_region_proxy_no_ac_encoder_seed0,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,0,2,6,10,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed0\summary.json,25.292790417948666,5.024912649676914,0.0,0.0,0.0,0.0,0.0,0.0,1.8224942684173584,0.0,,,0.0,0.4675902380329656,1.0,,,0.0,1.5102827032054373
multiseq_overlap_region_proxy_no_ac_encoder_seed1,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,1,2,6,11,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed1\summary.json,27.644074385310326,5.253039071957271,0.0,0.0,0.0,0.0,0.0,0.0,1.8187817335128784,0.0,,,0.0,0.47323605294521204,1.0,,,0.0,1.5102827032054373
multiseq_overlap_region_proxy_no_ac_encoder_seed10,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,10,2,6,9,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed10\summary.json,27.687877371082955,5.2468945653665635,0.0,0.0,0.0,0.0,0.0,0.0,1.0734056234359741,0.0,,,0.0,0.26236066667159474,1.0,,,0.0,1.5102827032054373
multiseq_overlap_region_proxy_no_ac_encoder_seed11,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,11,2,6,69,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed11\summary.json,35.30500043184369,5.922820783796764,0.0,0.0,0.0,0.0,0.0,0.0,1.0794638395309448,0.0,,,0.0,0.27745782459151785,1.0,,,0.0,1.5102827032054373
multiseq_overlap_region_proxy_no_ac_encoder_seed12,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,12,2,6,10,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed12\summary.json,28.414839479780063,5.324088681311834,0.0,0.0,0.0,0.0,0.0,0.0,1.8120224475860596,0.0,,,0.0,0.48327713718309573,1.0,,,0.0,1.5102827032054373
multiseq_overlap_region_proxy_no_ac_encoder_seed13,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,13,2,6,10,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed13\summary.json,29.643919808058698,5.435297944006466,0.0,0.0,0.0,0.0,0.0,0.0,1.8034085035324097,0.0,,,0.0,0.49564067901171555,1.0,,,0.0,1.5102827032054373
multiseq_overlap_region_proxy_no_ac_encoder_seed14,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,14,2,6,12,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed14\summary.json,30.882534909115037,5.545045077091172,0.0,0.0,0.0,0.0,0.0,0.0,1.0786980390548706,0.0,,,0.0,0.27557776556573127,1.0,,,0.0,1.5102827032054373
multiseq_overlap_region_proxy_no_ac_encoder_seed15,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,15,2,6,4,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed15\summary.json,30.26941421219248,5.485967739706948,0.0,0.0,0.0,0.0,0.0,0.0,1.0768972635269165,0.0,,,0.0,0.27112508799811874,1.0,,,0.0,1.5102827032054373
multiseq_overlap_region_proxy_no_ac_encoder_seed16,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,16,2,6,7,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed16\summary.json,27.090293671188554,5.192211453403745,0.0,0.0,0.0,0.0,0.0,0.0,1.074143409729004,0.0,,,0.0,0.26422686273728135,1.0,,,0.0,1.5102827032054373
multiseq_overlap_region_proxy_no_ac_encoder_seed17,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,17,2,6,10,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed17\summary.json,24.601351689842502,4.951126691840944,0.0,0.0,0.0,0.0,0.0,0.0,1.8137893676757812,0.0,,,0.0,0.48068136368758363,1.0,,,0.0,1.5102827032054373
