column_index,flattened_name,first_level,second_level,observed_block_code,mapped_variable_code,is_global_key,is_year_like_subcolumn,period_year,period_label,codebook_match
653,rpcyd__2024m06_2,RPCYD,2024M06.2,RPCYD,RPCYD,False,False,,,True
654,rpcyd__2024m07_2,RPCYD,2024M07.2,RPCYD,RPCYD,False,False,,,True
655,rpcyd__2024m08_2,RPCYD,2024M08.2,RPCYD,RPCYD,False,False,,,True
656,rpcyd__2024m09_2,RPCYD,2024M09.2,RPCYD,RPCYD,False,False,,,True
657,rpcyd__2024m10_2,RPCYD,2024M10.2,RPCYD,RPCYD,False,False,,,True
658,rpcyd__2024m11_2,RPCYD,2024M11.2,RPCYD,RPCYD,False,False,,,True
659,rpcyd__2024m12_2,RPCYD,2024M12.2,RPCYD,RPCYD,False,False,,,True
660,rpcyd__unnamed_660_level_1,RPCYD,Unnamed: 660_level_1,RPCYD,RPCYD,False,False,,,True
661,rpcyd__unnamed_661_level_1,RPCYD,Unnamed: 661_level_1,RPCYD,RPCYD,False,False,,,True
662,rpcyd__unnamed_662_level_1,RPCYD,Unnamed: 662_level_1,RPCYD,RPCYD,False,False,,,True
663,rpcyd__unnamed_663_level_1,RPCYD,Unnamed: 663_level_1,RPCYD,RPCYD,False,False,,,True
664,rpcyd__mean_income_sek_thousands_1__dup2,RPCYD,"Mean income, SEK thousands.1",RPCYD,RPCYD,False,False,,,True
665,rpcyd__unnamed_665_level_1,RPCYD,Unnamed: 665_level_1,RPCYD,RPCYD,False,False,,,True
666,rpcyd__unnamed_666_level_1,RPCYD,Unnamed: 666_level_1,RPCYD,RPCYD,False,False,,,True
667,rpcyd__median_income_sek_thousands_1,RPCYD,"Median income, SEK thousands.1",RPCYD,RPCYD,False,False,,,True
668,rpcyd__unnamed_668_level_1,RPCYD,Unnamed: 668_level_1,RPCYD,RPCYD,False,False,,,True
669,rpcyd__unnamed_669_level_1,RPCYD,Unnamed: 669_level_1,RPCYD,RPCYD,False,False,,,True
670,rpcyd__total_sum_sek_millions_1,RPCYD,"Total sum, SEK millions.1",RPCYD,RPCYD,False,False,,,True
671,rpcyd__unnamed_671_level_1,RPCYD,Unnamed: 671_level_1,RPCYD,RPCYD,False,False,,,True
672,rpcyd__unnamed_672_level_1,RPCYD,Unnamed: 672_level_1,RPCYD,RPCYD,False,False,,,True
673,rpcyd__number_of_persons_4__dup2,RPCYD,Number of persons.4,RPCYD,RPCYD,False,False,,,True
674,rpcyd__unnamed_674_level_1,RPCYD,Unnamed: 674_level_1,RPCYD,RPCYD,False,False,,,True
675,rpcyd__unnamed_675_level_1,RPCYD,Unnamed: 675_level_1,RPCYD,RPCYD,False,False,,,True
676,rpcyd__unnamed_676_level_1,RPCYD,Unnamed: 676_level_1,RPCYD,RPCYD,False,False,,,True
677,rpcyd__unnamed_677_level_1,RPCYD,Unnamed: 677_level_1,RPCYD,RPCYD,False,False,,,True
